,car_model,year_of_manufacture,price,fuel,0,ritz,2014,5000.0,Petrol,sr_no
0,,,,,1.0,sx4,2013.0,7089.55,Diesel,
1,,,,,2.0,ciaz,2017.0,10820.9,Petrol,
2,,,,,3.0,wagon r,2011.0,4253.73,Petrol,
3,,,,,4.0,swift,2014.0,6865.67,Diesel,
4,,,,,5.0,vitara brezza,2018.0,13805.97,Diesel,
5,,,,,6.0,ciaz,2015.0,10074.63,Petrol,
6,,,,,7.0,s cross,2015.0,9701.49,Diesel,
7,,,,,8.0,ciaz,2016.0,13059.7,Diesel,
8,,,,,9.0,ciaz,2015.0,11119.4,Diesel,
9,,,,,10.0,alto 800,2017.0,4253.73,Petrol,
10,,,,,11.0,ciaz,2015.0,10223.88,Diesel,
11,,,,,12.0,ciaz,2015.0,11194.03,Petrol,
12,,,,,13.0,ertiga,2015.0,9104.48,Petrol,
13,,,,,14.0,dzire,2009.0,3358.21,Petrol,
14,,,,,15.0,ertiga,2016.0,11567.16,Diesel,
15,,,,,16.0,ertiga,2015.0,10820.9,Diesel,
16,,,,,17.0,ertiga,2016.0,11567.16,Diesel,
17,,,,,18.0,wagon r,2015.0,4850.75,CNG,
18,,,,,19.0,sx4,2010.0,3955.22,Petrol,
19,,,,,20.0,alto k10,2016.0,4253.73,Petrol,
20,,,,,21.0,ignis,2017.0,7313.43,Petrol,
21,,,,,22.0,sx4,2011.0,6567.16,Petrol,
22,,,,,23.0,alto k10,2014.0,3731.34,Petrol,
23,,,,,24.0,wagon r,2013.0,4328.36,Petrol,
24,,,,,25.0,swift,2011.0,4477.61,Petrol,
25,,,,,26.0,swift,2013.0,6194.03,Petrol,
26,,,,,27.0,swift,2017.0,8955.22,Petrol,
27,,,,,28.0,alto k10,2010.0,2910.45,Petrol,
28,,,,,29.0,ciaz,2015.0,11119.4,Diesel,
29,,,,,30.0,ritz,2012.0,4626.87,Diesel,
30,,,,,31.0,ritz,2011.0,3507.46,Petrol,
31,,,,,32.0,swift,2014.0,7388.06,Diesel,
32,,,,,33.0,ertiga,2014.0,8955.22,Diesel,
33,,,,,34.0,dzire,2014.0,8208.96,Diesel,
34,,,,,35.0,sx4,2011.0,4402.99,CNG,
35,,,,,36.0,dzire,2015.0,6940.3,Petrol,
36,,,,,37.0,800,2003.0,522.39,Petrol,
37,,,,,38.0,alto k10,2016.0,4477.61,Petrol,
38,,,,,39.0,sx4,2003.0,3358.21,Petrol,
39,,,,,40.0,baleno,2016.0,8731.34,Petrol,
40,,,,,41.0,alto k10,2014.0,3805.97,Petrol,
41,,,,,42.0,sx4,2008.0,2910.45,Petrol,
42,,,,,43.0,dzire,2014.0,8208.96,Diesel,
43,,,,,44.0,omni,2012.0,1865.67,Petrol,
44,,,,,45.0,ciaz,2014.0,11194.03,Petrol,
45,,,,,46.0,ritz,2013.0,3955.22,Petrol,
46,,,,,47.0,wagon r,2006.0,1567.16,Petrol,
47,,,,,48.0,ertiga,2015.0,8656.72,Petrol,
48,,,,,49.0,ciaz,2017.0,11567.16,Petrol,
49,,,,,50.0,fortuner,2012.0,22238.81,Diesel,
50,,,,,51.0,fortuner,2015.0,34328.36,Diesel,
51,,,,,52.0,innova,2017.0,26865.67,Diesel,
52,,,,,53.0,fortuner,2013.0,23880.6,Diesel,
53,,,,,54.0,innova,2005.0,4104.48,Petrol,
54,,,,,55.0,corolla altis,2009.0,5373.13,Petrol,
55,,,,,56.0,etios cross,2015.0,6716.42,Petrol,
56,,,,,57.0,corolla altis,2010.0,7089.55,Petrol,
57,,,,,58.0,etios g,2014.0,6119.4,Petrol,
58,,,,,59.0,fortuner,2014.0,29835.82,Diesel,
59,,,,,60.0,corolla altis,2013.0,10373.13,Petrol,
60,,,,,61.0,etios cross,2015.0,6716.42,Petrol,
61,,,,,62.0,fortuner,2014.0,27985.07,Diesel,
62,,,,,63.0,fortuner,2015.0,35074.63,Diesel,
63,,,,,64.0,fortuner,2017.0,49253.73,Diesel,
64,,,,,65.0,etios liva,2014.0,7089.55,Diesel,
65,,,,,66.0,innova,2017.0,29477.61,Petrol,
66,,,,,67.0,fortuner,2010.0,13805.97,Diesel,
67,,,,,68.0,corolla altis,2011.0,6492.54,Petrol,
68,,,,,69.0,corolla altis,2016.0,21268.66,Petrol,
69,,,,,70.0,etios liva,2014.0,5895.52,Diesel,
70,,,,,71.0,corolla altis,2011.0,6716.42,Diesel,
71,,,,,72.0,corolla altis,2013.0,11119.4,Petrol,
72,,,,,73.0,etios liva,2011.0,3955.22,Petrol,
73,,,,,74.0,etios cross,2014.0,7313.43,Diesel,
74,,,,,75.0,etios g,2015.0,5895.52,Petrol,
75,,,,,76.0,corolla altis,2013.0,8208.96,Petrol,
76,,,,,77.0,corolla,2004.0,2238.81,Petrol,
77,,,,,78.0,corolla altis,2010.0,7835.82,Petrol,
78,,,,,79.0,fortuner,2012.0,21641.79,Diesel,
79,,,,,80.0,corolla altis,2016.0,21985.07,Diesel,
80,,,,,81.0,etios gd,2015.0,7089.55,Diesel,
81,,,,,82.0,innova,2017.0,34328.36,Diesel,
82,,,,,83.0,innova,2015.0,18656.72,Diesel,
83,,,,,84.0,innova,2005.0,5208.96,Diesel,
84,,,,,85.0,camry,2006.0,3731.34,Petrol,
85,,,,,86.0,land cruiser,2010.0,52238.81,Diesel,
86,,,,,87.0,corolla altis,2012.0,8805.97,Petrol,
87,,,,,88.0,etios liva,2013.0,5149.25,Petrol,
88,,,,,89.0,etios g,2014.0,7089.55,Petrol,
89,,,,,90.0,ritz,2014.0,5000.0,Petrol,
90,,,,,91.0,sx4,2013.0,7089.55,Diesel,
91,,,,,92.0,ciaz,2017.0,10820.9,Petrol,
